Fecha,symbol,order_type,side,amount,price

2024-11-22 19:45:07.883185,BTC/USDC:USDC,limit,buy,0.5605,98855.0
2024-11-22 19:46:13.457211,BTC/USDC:USDC,limit,buy,0.5605,98805.0
2024-11-22 19:47:28.547386,BTC/USDC:USDC,limit,buy,0.5605,98793.5
2024-11-22 19:48:14.203891,BTC/USDC:USDC,limit,buy,0.5605,98797.0
2024-11-22 19:57:33.489108,BTC/USDC:USDC,limit,SELL,0.01,99106.5
2024-11-22 19:58:34.283775,BTC/USDC:USDC,limit,SELL,0.01,99175.5
2024-11-22 19:59:34.669240,BTC/USDC:USDC,limit,SELL,0.01,99152.0
2024-11-22 20:00:35.673736,BTC/USDC:USDC,limit,SELL,0.01,98918.5
2024-11-22 20:01:36.441677,BTC/USDC:USDC,limit,SELL,0.01,98829.5
2024-11-22 20:02:37.099939,BTC/USDC:USDC,limit,SELL,0.01,98987.0
2024-11-22 20:04:38.398160,BTC/USDC:USDC,limit,SELL,0.01,98873.0
2024-11-22 20:05:39.193369,BTC/USDC:USDC,limit,SELL,0.01,98853.0
2024-11-22 20:10:42.949818,BTC/USDC:USDC,limit,SELL,0.01,98735.5
2024-11-22 20:11:43.747457,BTC/USDC:USDC,limit,SELL,0.01,98749.0
2024-11-22 20:12:44.556140,BTC/USDC:USDC,limit,SELL,0.01,98713.5
2024-11-22 20:13:45.462463,BTC/USDC:USDC,limit,SELL,0.01,98773.0
2024-11-22 20:14:46.578451,BTC/USDC:USDC,limit,SELL,0.01,98725.0
